"noc_plan_desc","distance_from_node_ft","network_node","network_node_latitude","network_node_longitude","first_cost","hh_count","cost_hh","address_id","win_lat","win_lon","upstream_nodes","feeder_fiber_footage","gpon_dist_cost","geo_prec","win_census_block","caf_cb_type","caf1r2_funding_type","addr_link_type","primary_number","pre_directional","street","street_suffix","post_directional","unit_designator","secondary_number","city","state","zip","zip4","data_source","win_exchange_id","hh_svc_key","package","miror_status","drs_wc","miror_wire_center","drs_exchange","qualified_desc","awg","ft_to_bb","term_number","route_lead","miror_theoretical_loop_length","terminal_number","route_number","terminal_id","switch_center_clli","gcomms_awg","gcomms_ft_to_bb","fid","csa","csa_status","co_csa"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000001859949","0","0","","LXTNSCP0038","","","","0","000006","1469","","{2E47C842-5FE0-4792-BE11-0DDF1AA51516}","1","13690","245 CAROLINE HILL RD","LEXINGTON","7156","","QUAL UP TO 100 MB RANGE","0","SC000LXTN","LXTNSCP0038","SC050LXTN","NOT USED","","","000006","7156","SC050LXTN","p60","1810.58","1810.58","LXTN1130000245","","","1","LXTNSCP0038","","6BA8","","","SC","450630210461019"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000001850225","0","0","","LXTNSCU0700","","","","0","000013","1592","","{DC91FBEF-FDC7-4782-BCAB-277F97F6F21F}","0.912","13696","211 CAROLINE SPRINGS RD","LEXINGTON","7151","","NO QUAL","0","SC000LXTN","LXTNSCU0700","SC050LXTN","NOT USED","","","000013","7151","SC050LXTN","p60","12505.3","12505.3","LXTN2507000211","","","0.912","LXTNSCU0700","","6BA8","","","SC","450630210461022"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000031348340","0","0","","LXTNSCP0038","","","","0","000007","1008","","{26347AF7-595E-46CD-AB3A-E5FF3314D0D5}","1","13918","308 MISTY SPRING CT","LEXINGTON","7157","","QUAL UP TO 100 MB RANGE","0","SC000LXTN","LXTNSCP0038","SC050LXTN","NOT USED","","","000007","7157","SC050LXTN","p60","1927.57","1927.57","LXTN1542000308","","","1","LXTNSCP0038","","6BA8","","","SC","450630210461019"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000021625261","0","0","","LXTNSCU0703","","","","0","000028","4680","","{929C5AD0-C366-4313-9CAE-CF4F521C9B99}","1","13944","656 HIGHWAY 378","LEXINGTON","7106","","QUAL UP TO 25 MB RANGE","0","SC000LXTN","LXTNSCU0703","SC050LXTN","NOT USED","","","000028","7106","SC050LXTN","p60","4593.48","4593.48","LXTN1124000656","","","1","LXTNSCU0703","","6BA8","","","SC","450630210461021"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000185916545","0","0","","LXTNSCU0706","","","","0","000037"," ","","{DDC6B140-73C3-4C33-AC1D-53CDABEFD1ED}","1","13960","640 HIGHWAY 378","LEXINGTON","7105","","QUAL UP TO 50 MB RANGE","0","SC000LXTN","LXTNSCU0706","SC050LXTN","NOT USED","","","000037","7105","SC050LXTN"," ","2691.92","2691.92"," ","","","1","LXTNSCU0706","","6BA8","","","SC","450630210461021"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000021597773","0","0","","LXTNSCU0706","","","","0","000002","196","","{53582D65-9F11-4700-8EAA-30A5F69080B2}","1","14010","318 WISE FERRY RD","LEXINGTON","7111","","QUAL UP TO 100 MB RANGE","0","SC000LXTN","LXTNSCU0706","SC050LXTN","NOT USED","","","000002","7111","SC050LXTN","p60","214.43","214.43","LXTN0103000318","","","1","LXTNSCU0706","","6BA8","","","SC","450630210481012"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000016945779","0","0","","LXTNSCU0706","","","","0","000014","2630","","{4B47E996-2536-4FC1-A415-1833E5C20A7F}","1","14065","329 BEAUMONT DR","LEXINGTON","7128","","QUAL UP TO 50 MB RANGE","0","SC000LXTN","LXTNSCU0706","SC050LXTN","NOT USED","","","000014","7128","SC050LXTN","p60","2703.07","2703.07","LXTN2765000329","","","1","LXTNSCU0706","","6BA8","","","SC","450630210461018"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000001639158","0","0","","LXTNSCU0703","","","","0","000028","4680","","{929C5AD0-C366-4313-9CAE-CF4F521C9B99}","1","14098","664 HIGHWAY 378","LEXINGTON","7106","","NO QUAL","0","SC000LXTN","LXTNSCU0703","SC050LXTN","NOT USED","","","000028","7106","SC050LXTN","p60","4485.46","4485.46","LXTN1124000664","","","1","LXTNSCU0703","","6BA8","","","SC","450630210461021"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000008036299","0","0","","LXTNSCP0038","","","","0","000004","674","","{735D560D-E05F-4D9D-B509-CE52A0A603A6}","1","14164","208 WILD SPRING CT","LEXINGTON","7154","","QUAL UP TO 100 MB RANGE","0","SC000LXTN","LXTNSCP0038","SC050LXTN","NOT USED","","","000004","7154","SC050LXTN","p60","994.95","994.95","LXTN1513000208","","","1","LXTNSCP0038","","6BA8","","","SC","450630210461019"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000024362651","0","0","","LXTNSCU0703","","","","0","000028","4254","","{929C5AD0-C366-4313-9CAE-CF4F521C9B99}","1","14410","662 HIGHWAY 378","LEXINGTON","7106","","NO QUAL","0","SC000LXTN","LXTNSCU0703","SC050LXTN","NOT USED","","","000028","7106","SC050LXTN","p60","4649.61","4649.61","LXTN1124000662","","","1","LXTNSCU0703","","6BA8","","","SC","450630210461021"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000017241115","0","0","","LXTNSCU0703","","","","0","000042","5814","","{D9FD0D31-21F6-483B-8052-A4652D108F63}","1","14414","580 HIGHWAY 378","LEXINGTON","7106","","QUAL UP TO 10 MB","0","SC000LXTN","LXTNSCU0703","SC050LXTN","NOT USED","","","000042","7106","SC050LXTN","p60","6146.11","6146.11","LXTN1124000580","","","1","LXTNSCU0703","","6BA8","","","SC","450630210461018"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000008970441","0","0","","LXTNSCP0038","","","","0","000013","588","","{9D92E24F-F66B-49F1-9533-8A537A3960F3}","1","14592","339 CAROLINE HILL RD","LEXINGTON","7153","","QUAL UP TO 100 MB RANGE","0","SC000LXTN","LXTNSCP0038","SC050LXTN","NOT USED","","","000013","7153","SC050LXTN","p60","1729.45","1729.45","LXTN1130000339","","","1","LXTNSCP0038","","6BA8","","","SC","450630210461020"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000028248561","0","0","","LXTNSCP0038","","","","0","000005","966","","{B55C44CA-AA1B-4464-8A4A-C89908FC2D90}","1","14696","216 WILD SPRING CT","LEXINGTON","7154","","QUAL UP TO 100 MB RANGE","0","SC000LXTN","LXTNSCP0038","SC050LXTN","NOT USED","","","000005","7154","SC050LXTN","p60","1098.21","1098.21","LXTN1513000216","","","1","LXTNSCP0038","","6BA8","","","SC","450630210461019"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000028094270","0","0","","LXTNSCP0038","","","","0","000018"," ","","{A343F0FE-E44A-4083-B7A9-A3173C98A556}","1","14746","348 CAROLINE HILL RD","LEXINGTON","7153","","QUAL UP TO 100 MB RANGE","0","SC000LXTN","LXTNSCP0038","SC050LXTN","NOT USED","","","000018","7153","SC050LXTN"," ","1912.01","1912.01"," ","","","1","LXTNSCP0038","","6BA8","","","SC","450630210461018"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000028667212","0","0","","LXTNSCP0038","","","","0","000021","874","","{1AA7CBBB-EFCD-46C3-9FB3-5D76E6A749AC}","1","14771","324 CAROLINE HILL RD","LEXINGTON","7153","","QUAL UP TO 50 MB RANGE","0","SC000LXTN","LXTNSCP0038","SC050LXTN","NOT USED","","","000021","7153","SC050LXTN","p60","2264.38","2264.38","LXTN1130000324","","","1","LXTNSCP0038","","6BA8","","","SC","450630210461018"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000025555709","0","0","","LXTNSCP0038","","","","0","000012","813","","{81A466C0-FDC3-47C5-B246-54A34A56BFF2}","1","14780","219 WILD SPRING CT","LEXINGTON","7154","","QUAL UP TO 100 MB RANGE","0","SC000LXTN","LXTNSCP0038","SC050LXTN","NOT USED","","","000012","7154","SC050LXTN","p60","1614.01","1614.01","LXTN1513000219","","","1","LXTNSCP0038","","6BA8","","","SC","450630210461019"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000011635485","0","0","","LXTNSCP0038","","","","0","000025","2669","","{AE16A4AC-CF1D-44CD-8F81-737C5FFD9CFF}","1","14796","272 CAROLINE HILL RD","LEXINGTON","7153","","QUAL UP TO 50 MB RANGE","0","SC000LXTN","LXTNSCP0038","SC050LXTN","NOT USED","","","000025","7153","SC050LXTN","p60","2762.91","2762.91","LXTN1130000272","","","1","LXTNSCP0038","","6BA8","","","SC","450630210461018"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000009421723","0","0","","LXTNSCU0700","","","","0","000012","6568","","{93D14C57-4140-444F-8B7A-B6159773960F}","0.999","14961","343 CAROLINE SPRINGS RD","LEXINGTON","7151","","NO QUAL","0","SC000LXTN","LXTNSCU0700","SC050LXTN","NOT USED","","","000012","7151","SC050LXTN","p60","13239.42","13239.42","LXTN2507000343","","","0.999","LXTNSCU0700","","6BA8","","","SC","450630210461022"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000003398503","0","0","","LXTNSCP0038","","","","0","000003","1008","","{39B7D03C-B93E-4E65-B8D3-D1A2A4A3A108}","1","15253","313 MISTY SPRING CT","LEXINGTON","7157","","QUAL UP TO 100 MB RANGE","0","SC000LXTN","LXTNSCP0038","SC050LXTN","NOT USED","","","000003","7157","SC050LXTN","p60","1575.6","1575.6","LXTN1542000313","","","1","LXTNSCP0038","","6BA8","","","SC","450630210461019"
"LXTNSC GPON SEFH 2026_MR","0","6BA8","0","0","0","0","0","0","0","A8000000000000002023857","0","0","","LXTNSCP0038","","","","0","000009","1031","","{B5093949-E8FF-4B01-BB34-D8194180369D}","1","15730","309 CAROLINE HILL RD","LEXINGTON","7153","","QUAL UP TO 100 MB RANGE","0","SC000LXTN","LXTNSCP0038","SC050LXTN","NOT USED","","","000009","7153","SC050LXTN","p60","1332.11","1332.11","LXTN1130000309","","","1","LXTNSCP0038","","6BA8","","","SC","450630210461020"
